,city,latitude,longitude,runners,distance,population,canton
0,St-Légier-La Chiésaz,46.47171849999999,6.876770899999999,12,24209.0,nan,nan
1,St-Légier,46.47171849999999,6.876770899999999,57,24023.0,nan,nan
2,Ernen,46.39850010000001,8.1457733,1,165658.0,nan,nan
3,Lausanne,46.5196535,6.6322734,2043,0.0,135629,VD
4,Pully,46.5092681,6.6654949,312,3001.0,17807,VD
5,Chavannes-près-Renens,46.5316376,6.574969599999999,56,5363.0,nan,nan
6,F-Amiens,49.894067,2.295753,1,660413.0,nan,nan
7,Genève,46.2043907,6.1431577,503,63283.0,nan,nan
8,Poliez-le-Grand,46.63767,6.66287,6,18352.0,nan,nan
9,E-L'Hospitalet de Llobreg,41.3661865,2.1164942,1,852778.0,nan,nan
10,Zürich,47.3768866,8.541694,133,226399.0,396027,ZH
11,E-Madrid,40.4167754,-3.7037902,9,1443909.0,nan,nan
12,Lully VD,46.50538,6.4653546,11,15898.0,nan,nan
13,Rolle,46.4612971,6.3397549,46,27630.0,6109,VD
14,F-Crespieres,48.880904,1.918497,1,546441.0,nan,nan
15,Epalinges,46.54885729999999,6.674199,184,5646.0,nan,nan
16,Sion,46.2331221,7.360625999999999,53,95792.0,33532,VS
17,RUS-Ufa,54.7387621,55.9720554,2,4162776.0,nan,nan
18,Etoy,46.4860297,6.4192307,32,24579.0,nan,nan
19,F-Dardilly,45.805587,4.753184,3,220947.0,nan,nan
20,Le Mont-sur-Lausanne,46.55331229999999,6.6339915,129,5031.0,nan,nan
21,Bex,46.24998470000001,7.014266399999999,21,53903.0,nan,nan
22,J-Kanagawa,35.4475073,139.6423446,2,,nan,nan
23,GB-London,51.5073509,-0.1277583,23,922418.0,nan,nan
24,F-Reignier,46.138178,6.2666019,4,92315.0,nan,nan
25,CZ-Dubi,50.6810392,13.7888466,1,947987.0,nan,nan
26,F-Neydens,46.120361,6.104318,2,77124.0,nan,nan
27,Chardonne,46.4769475,6.8342278,22,21424.0,nan,nan
28,Chexbres,46.481692,6.7788078,34,16483.0,nan,nan
29,Cheseaux-sur-Lausanne,46.585452,6.6047712,72,8518.0,nan,nan
30,Aarau,47.390434,8.0457015,6,185627.0,20710,AG
31,Attalens,46.5103309,6.8485685,14,26326.0,nan,nan
32,Pont (Veveyse),46.59065,6.85379,1,21628.0,nan,nan
33,Bussigny,46.5517429,6.558615,82,9258.0,8214,VD
34,Préverenges,46.5175835,6.525268199999999,66,8734.0,nan,nan
35,Savigny,46.5383864,6.7321079,29,10313.0,nan,nan
36,Bolken,47.1932873,7.6631946,1,142090.0,nan,nan
37,Gippingen,n,a,2,218659.0,nan,nan
38,Münsingen,46.8746813,7.5627528,3,402186.0,11813,BE
39,Ecublens VD,46.5296363,6.561525199999999,121,5703.0,nan,nan
40,Bern,46.9479739,7.4474468,88,103424.0,131554,BE
41,F-Panissieres,45.79191,4.3387019,1,266747.0,nan,nan
42,Echandens-Denges,n,a,39,9530.0,nan,nan
43,Untersiggenthal,47.4978612,8.2638309,1,211482.0,nan,nan
44,Düdingen,46.8464198,7.191017899999999,4,79659.0,nan,nan
45,Bernex,46.1771419,6.0764849,22,69325.0,nan,nan
46,I-Castelletto Ticino (NO),45.706711,8.626339699999999,1,285293.0,nan,nan
47,F-Montlucon,46.3415466,2.6019912,1,416999.0,nan,nan
48,Farvagny-le-Petit,46.7288715,7.0734191,2,62028.0,nan,nan
49,F-Allinges,46.33514599999999,6.463344999999999,6,81826.0,nan,nan
50,Chavornay,46.7088129,6.5707689,25,26336.0,nan,nan
51,Lonay,46.52664679999999,6.5205487,26,15462.0,nan,nan
52,COL-Cali,3.45246,-76.535758,2,,nan,nan
53,Vevey,46.4628333,6.8419192,139,18470.0,19453,VD
54,Chavannes-des-Bois,46.3158782,6.133292600000001,4,50803.0,nan,nan
55,F-Besancon,47.237829,6.024053899999999,32,125989.0,nan,nan
56,F-St Genis Pouilly,46.2437479,6.02513,23,68935.0,nan,nan
57,F-St Jean d'Aulps,46.234581,6.655653999999999,2,97476.0,nan,nan
58,Yverdon-les-Bains,46.7784736,6.641183,84,38118.0,29700,VD
59,La Neuveville,47.0632023,7.0912628,8,89696.0,3693,BE
60,L-Mondercange,49.5309365,5.9907689,1,432769.0,nan,nan
61,Echallens,46.6410996,6.634450800000001,59,15935.0,nan,nan
62,Cottens VD,46.5720815,6.4539944,2,21391.0,nan,nan
63,Croy,55.96113,-4.039556,3,1815413.0,nan,nan
64,F-Segny,46.296423,6.073436999999999,3,58554.0,nan,nan
65,Prangins,46.3943352,6.2492927,24,38772.0,nan,nan
66,I-Milano (MI),45.4654219,9.1859243,2,329714.0,nan,nan
67,Mézières VD,46.5955273,6.7702883,7,16781.0,nan,nan
68,F-Amberieu en Bugey,45.95843600000001,5.359556,2,167308.0,nan,nan
69,F-Arles,43.676647,4.6277769,1,490145.0,nan,nan
70,Crassier,46.3744662,6.1635803,6,45506.0,nan,nan
71,Viganello,46.0123679,8.969114900000001,3,382529.0,nan,nan
72,St-Sulpice VD,46.51011399999999,6.558195100000001,56,6476.0,nan,nan
73,D-Legau,47.8579596,10.1299662,1,423586.0,nan,nan
74,Aadorf,47.4884348,8.9035411,1,272435.0,nan,nan
75,Bottmingen,47.5233885,7.5723451,1,202257.0,nan,nan
76,Nyon,46.3832683,6.2347852,116,41754.0,20088,VD
77,Satigny,46.215764,6.0332425,6,68238.0,nan,nan
78,La Chaux-de-Fonds,47.1034892,6.832783800000001,30,89627.0,38957,NE
79,Renens VD,46.53381,6.59137,105,3677.0,nan,nan
80,Crissier,46.55186870000001,6.5743458,76,9014.0,7730,VD
81,Mies,46.3033989,6.1695935,14,50976.0,nan,nan
82,Meyrin,46.2283204,6.070988,24,65136.0,22152,GE
83,QAT-Doha,25.2854473,51.53103979999999,1,5892729.0,nan,nan
84,F-Divonne les Bains,46.358168,6.136039999999999,37,50218.0,nan,nan
85,F-Nice,n,a,2,544874.0,nan,nan
86,Fribourg,46.8064773,7.161971899999999,82,76314.0,38489,FR
87,Sullens,46.5935962,6.5660091,18,14913.0,nan,nan
88,Villars-le-Terroir,46.65755,6.639048900000001,9,18120.0,nan,nan
89,F-Villeurbanne,45.771944,4.8901709,4,207152.0,nan,nan
90,Gumefens,46.6767042,7.0757631,4,54864.0,nan,nan
91,F-Nernier,46.364982,6.304619,1,88380.0,nan,nan
92,Muri b. Bern,46.9350521,7.498472799999999,5,115377.0,nan,nan
93,Arni-Islisberg,47.31862,8.42056,1,229249.0,nan,nan
94,F-Rennes,48.117266,-1.6777926,2,820053.0,nan,nan
95,Lutry,46.5088803,6.6827638,107,5160.0,9747,VD
96,E-Barcelona,41.3850639,2.1734035,5,846531.0,nan,nan
97,Noréaz,46.8036084,7.0269211,3,51466.0,nan,nan
98,Glion,46.432164,6.9255565,6,375462.0,nan,nan
99,Ain-Est Athletisme,n,a,1,,nan,nan
100,St-Prex,46.4829113,6.458343500000001,54,18033.0,nan,nan
101,F-Neuvecelle,46.394984,6.612114,11,65761.0,nan,nan
102,Corsier-sur-Vevey,46.4725243,6.8482854,18,25499.0,nan,nan
103,Belmont-sur-Lausanne,46.5191267,6.678912299999999,41,5497.0,nan,nan
104,Assens,55.2702263,9.9008188,6,1311495.0,nan,nan
105,Ins,47.0060765,7.105617199999999,3,,nan,nan
106,F-Douvaine,46.3048689,6.299196999999999,17,79874.0,nan,nan
107,Le Vaud,46.4781748,6.2388488,11,44919.0,nan,nan
108,Froideville,46.601503,6.6822073,27,13950.0,nan,nan
109,Châtel-St-Denis,46.5269159,6.901089499999999,30,31385.0,nan,nan
110,Onex,46.183541,6.1002345,12,69458.0,18635,GE
111,Unterengstringen,47.4136272,8.448918299999999,2,219413.0,nan,nan
112,Sierre,46.29413110000001,7.533536199999999,21,110896.0,16711,VS
113,Ollon VD,46.2957462,6.9916269,8,51165.0,nan,nan
114,La Tour-de-Trême,46.60833299999999,7.06667,14,53380.0,21991,FR
115,F-Les Hopitaux Vieux,46.789994,6.369194999999999,1,53554.0,nan,nan
116,Marin-Epagnier,47.0091808,7.0015896,11,80882.0,nan,nan
117,F-Fontenay sous Bois,48.851542,2.475907,2,524923.0,nan,nan
118,Les Charbonnières,46.6662974,6.315135,2,319492.0,nan,nan
119,Begnins,46.4408426,6.2477524,8,36946.0,nan,nan
120,F-Amoros,38.3407659,-0.7056422,1,1361521.0,nan,nan
121,Paudex,46.5051579,6.6723034,12,3835.0,nan,nan
122,Morges,46.5088127,6.496130099999999,156,14937.0,15676,VD
123,Eclépens,46.6525234,6.529665899999999,12,23420.0,nan,nan
124,Courrendlin,47.3393271,7.373463699999999,1,145623.0,nan,nan
125,Morrens VD,46.5910697,6.6256805,6,11847.0,nan,nan
126,Collombey,46.2710282,6.9459483,13,50461.0,nan,nan
127,DK-Snekkersten,56.010163,12.585491,2,1372075.0,nan,nan
128,F-Grenoble,45.188529,5.724524,12,205473.0,nan,nan
129,Romanel-sur-Morges,46.5555532,6.5108738,5,17314.0,nan,nan
130,Vufflens-le-Château,46.5250638,6.47441,21,15943.0,nan,nan
131,Yens,n,a,8,21262.0,nan,nan
132,F-Paris,48.856614,2.3522219,54,518065.0,nan,nan
133,Gollion,46.5852808,6.5067932,8,19882.0,nan,nan
134,I-San Lazzaro di Savena (,44.4689738,11.4218161,1,551642.0,nan,nan
